product_id,product_name,category,unit_price,brand
174,Front-line intangible matrix,Clothing,100.64,"Bray, Frederick and Jimenez"
175,Persevering zero tolerance Local Area Network,Clothing,151.39,Allen-Perry
176,Virtual logistical implementation,Sports,54.1,Kelly-Evans
177,Secured analyzing database,Clothing,184.54,Lam-Gordon
178,Seamless full-range workforce,Beauty,74.44,"Wright, Howard and Stevenson"
179,Customizable bi-directional application,Books,172.16,Reyes and Sons
180,Re-engineered foreground hub,Beauty,134.82,Young Inc
181,Public-key regional superstructure,Clothing,267.29,Lee and Sons
182,Ergonomic solution-oriented artificial intelligence,Beauty,145.16,Diaz Ltd
183,Cloned fault-tolerant projection,Sports,168.29,"Edwards, Francis and Johnson"
184,Ameliorated client-server implementation,Beauty,133.98,Smith-Taylor
185,Optimized 24/7 info-mediaries,Home & Garden,401.05,Campbell-Rodriguez
186,Self-enabling bottom-line synergy,Toys,194.48,Torres-Hunter
187,Optional cohesive benchmark,Clothing,194.12,Haley-Hart
188,Fully-configurable user-facing extranet,Home & Garden,349.99,"Taylor, Terry and Conley"
189,Reduced logistical encryption,Electronics,1350.76,Thompson LLC
190,Business-focused intermediate open system,Clothing,68.52,Bryan-Hull
191,Monitored composite secured line,Clothing,189.61,Moore Ltd
192,Vision-oriented high-level middleware,Electronics,1597.29,"Clark, Murray and Rodriguez"
193,Multi-layered needs-based contingency,Sports,67.69,"Baker, Downs and Hansen"
194,Configurable optimizing secured line,Clothing,175.91,"Lawrence, Yu and Greer"
195,Multi-channeled attitude-oriented info-mediaries,Electronics,749.63,"Hardy, Weber and Jones"
196,Triple-buffered tangible paradigm,Home & Garden,188.17,Edwards-Velasquez
197,Switchable explicit framework,Clothing,68.92,King-Morris
198,Front-line optimal ability,Toys,179.95,Scott LLC
199,Down-sized exuding collaboration,Electronics,1623.29,"Fox, Simpson and Diaz"
200,Function-based modular access,Home & Garden,223.85,Shaw Group
201,Virtual mobile policy,Books,53.07,"Reed, Williams and Barry"
202,Innovative homogeneous knowledge user,Books,52.58,Goodman PLC
203,Synergistic web-enabled emulation,Home & Garden,496.93,Henry-Blake
204,Mandatory 6thgeneration synergy,Toys,77.5,Solomon Ltd
205,Assimilated analyzing website,Electronics,1551.69,"Collins, Jones and Webb"
206,Universal 5thgeneration productivity,Books,60.82,Allen-Haynes
207,Optimized 6thgeneration service-desk,Clothing,258.95,Rodriguez Inc
208,Face-to-face stable framework,Toys,107.92,Francis PLC
209,Secured clear-thinking website,Beauty,29.79,"Reese, Cruz and Adams"
210,Polarized fresh-thinking conglomeration,Electronics,1856.93,Reed-Holland
211,Universal motivating structure,Sports,161.81,"Sawyer, Booth and Wolf"
212,Versatile impactful matrix,Toys,153.6,"Nolan, Morgan and Davis"
213,Multi-channeled systemic application,Electronics,1574.22,Solomon-Myers
214,Profound asymmetric hardware,Books,158.61,Newton-Rodriguez
215,Inverse high-level instruction set,Electronics,1656.04,"Butler, Heath and Perry"
216,Reduced exuding analyzer,Electronics,1039.25,"Allen, Villa and Allen"
217,Function-based incremental productivity,Clothing,196.38,Peterson LLC
218,Intuitive bottom-line standardization,Toys,49.02,Wilson-Knox
219,Face-to-face demand-driven parallelism,Home & Garden,91.16,Perry-Lopez
220,De-engineered empowering hub,Home & Garden,358.46,Dixon LLC
221,Object-based real-time initiative,Toys,106.12,Watkins Inc
222,Digitized secondary strategy,Beauty,175.39,Berger-Hayes
223,User-centric fault-tolerant open architecture,Clothing,201.19,"Wiley, Riley and Tran"
224,Progressive mission-critical orchestration,Home & Garden,412.29,"Burton, Mooney and Stevenson"
225,Configurable object-oriented interface,Electronics,1704.76,Brown and Sons
226,Proactive responsive application,Sports,194.23,Erickson-Price
227,Enterprise-wide contextually-based task-force,Toys,156.12,Cervantes-Dennis
228,Optimized eco-centric challenge,Clothing,253.75,Smith Inc
229,Devolved mission-critical forecast,Sports,74.85,Willis-Higgins
230,Advanced bifurcated matrix,Books,42.54,Harris-Rodriguez
231,Robust background orchestration,Home & Garden,195.63,"Atkins, Sanchez and Ferrell"
232,Streamlined 3rdgeneration moderator,Toys,88.85,Contreras-Perez
233,Networked 24hour instruction set,Beauty,136.35,Thompson Inc
234,Open-source content-based hardware,Clothing,230.9,Ruiz-Davidson
235,Multi-channeled mobile knowledgebase,Books,90.13,Myers-Simon
236,Down-sized zero administration portal,Clothing,58.64,"Parker, Brown and Lloyd"
237,Advanced tertiary alliance,Sports,88.55,Wyatt and Sons
238,Phased demand-driven adapter,Sports,180.63,Goodwin LLC
239,Visionary multi-tasking conglomeration,Toys,108.07,"Wallace, Hancock and Benitez"
240,Expanded value-added utilization,Beauty,78.74,Anderson-Hardy
241,Mandatory incremental artificial intelligence,Electronics,913.03,Hawkins Ltd
242,Versatile coherent access,Toys,11.89,Davenport PLC
243,Adaptive systemic interface,Toys,108.3,"Padilla, Aguilar and Wagner"
244,Open-source client-driven protocol,Electronics,215.32,Hart and Sons
245,Streamlined static architecture,Home & Garden,209.8,"Garcia, Rios and Martin"
246,Virtual attitude-oriented Local Area Network,Toys,41.22,Pope-Johnson
247,Expanded scalable infrastructure,Electronics,816.87,Cruz-Perez
248,Streamlined uniform pricing structure,Electronics,1337.34,Castillo-Hunter
249,Streamlined dynamic complexity,Beauty,38.68,Lynn-Nguyen
250,Profound even-keeled Graphical User Interface,Books,20.98,Lee Ltd
251,Pre-emptive reciprocal application,Beauty,196.21,"Thompson, Beck and Ramirez"
252,Assimilated directional matrix,Toys,135.47,Robinson-Schultz
253,Exclusive static synergy,Books,194.81,Keller and Sons
254,Triple-buffered eco-centric support,Sports,86.38,Martinez-Norris
255,Team-oriented full-range instruction set,Beauty,143.15,Rivas-Perkins
256,Mandatory actuating workforce,Toys,67.82,"Wright, Wood and Mason"
257,Realigned analyzing knowledgebase,Beauty,69.6,Martinez Group
258,Managed coherent forecast,Home & Garden,18.83,"Carter, Weaver and Jones"
259,Multi-channeled cohesive website,Home & Garden,451.6,"Greene, Wagner and Romero"
260,Down-sized 24hour structure,Books,184.89,Murphy LLC
261,Reverse-engineered maximized intranet,Beauty,86.75,Gutierrez-Andrews
262,Fully-configurable impactful success,Beauty,48.98,Russell LLC
263,Organic incremental hardware,Books,128.63,Romero and Sons
264,Devolved tertiary workforce,Books,133.89,Rodriguez-Bradley
265,Inverse stable flexibility,Beauty,75.6,"Hickman, Estrada and Johnson"
266,De-engineered non-volatile function,Toys,158.5,"Foley, Carpenter and Phillips"
267,Synchronized value-added extranet,Sports,157.33,"Garrison, Ellis and Bass"
268,Open-source hybrid archive,Home & Garden,55.88,"Keith, Sellers and Herrera"
269,Optional global product,Books,73.55,Smith-Doyle
270,Automated tertiary paradigm,Beauty,146.59,Terry PLC
271,Monitored uniform initiative,Clothing,165.73,"Wallace, Lopez and Shah"
272,Re-contextualized tangible projection,Books,63.95,"Mueller, Diaz and Boyle"
273,Reverse-engineered web-enabled core,Electronics,1047.76,Roman-Bradshaw
274,Reduced zero-defect forecast,Home & Garden,267.85,Moore Group
275,Assimilated intangible info-mediaries,Toys,130.78,Hoffman LLC
276,Synchronized discrete installation,Electronics,104.39,Thornton Group
277,Public-key 6thgeneration intranet,Toys,112.59,Smith and Sons
278,Assimilated directional productivity,Home & Garden,132.05,"Lewis, Case and Garcia"
279,Cloned cohesive access,Toys,67.75,"Williamson, Foster and Woods"
280,Face-to-face leadingedge complexity,Sports,197.52,Gonzalez Group
281,Face-to-face explicit time-frame,Electronics,1477.37,Gordon-Benitez
282,Multi-tiered high-level instruction set,Toys,80.87,Smith-Davidson
283,Reduced responsive standardization,Beauty,106.42,Bailey Ltd
284,Inverse mobile workforce,Electronics,143.08,Combs-Bradford
285,Reverse-engineered incremental matrix,Beauty,188.86,Johnson-Green
286,Organized dedicated policy,Sports,66.61,Jones LLC
287,Up-sized radical ability,Beauty,10.99,"Shah, Vang and Nelson"
288,Optimized neutral projection,Home & Garden,491.73,"Simpson, Rasmussen and Higgins"
289,Business-focused web-enabled help-desk,Toys,151.69,"Donaldson, Patterson and Martinez"
290,Diverse full-range data-warehouse,Books,117.46,Taylor PLC
291,Enhanced interactive instruction set,Beauty,136.45,Stewart Group
292,Vision-oriented multimedia application,Toys,123.15,"Johnson, Murphy and Williams"
293,Advanced background time-frame,Home & Garden,160.11,Hughes-Collier
294,Robust zero tolerance Local Area Network,Beauty,159.11,"Smith, Johnson and Hendricks"
295,Synchronized analyzing alliance,Beauty,118.83,Clark-Hunter
296,Intuitive eco-centric infrastructure,Clothing,220.02,Hardin-Fletcher
297,Self-enabling fault-tolerant superstructure,Books,150.13,Campbell-Richard
298,Versatile object-oriented emulation,Electronics,689.3,"Fields, Johnson and Munoz"
299,Customer-focused demand-driven benchmark,Books,46.59,"Schmidt, Shah and Gray"
300,Cloned multi-tasking definition,Toys,78.64,Rodriguez Inc
301,Monitored explicit capacity,Electronics,335.78,"Weaver, King and Mcguire"
302,Enhanced heuristic product,Sports,167.4,Garcia PLC
303,Streamlined 6thgeneration customer loyalty,Electronics,229.88,Burke-Heath
304,Advanced object-oriented frame,Sports,178.82,Stanley LLC
305,Cloned contextually-based functionalities,Sports,50.81,"West, Weber and Hoover"
306,Automated upward-trending software,Electronics,770.12,Wolf and Sons
307,Fully-configurable next generation moratorium,Books,86.52,"West, Barnes and Mcdonald"
308,Optional 5thgeneration product,Books,108.6,Guerra-Skinner
309,Progressive object-oriented functionalities,Sports,175.68,Shannon LLC
310,Ameliorated secondary data-warehouse,Books,104.78,"Salazar, Beltran and Pierce"
311,Public-key maximized forecast,Sports,199.34,Caldwell-Delgado
312,Ameliorated multi-tasking attitude,Beauty,186.9,"Gonzalez, Allen and Vaughn"
313,Re-contextualized static database,Sports,149.03,"Hanson, Sutton and West"
314,Advanced contextually-based info-mediaries,Sports,166.52,Allen-Jackson
315,Adaptive methodical capability,Clothing,161.62,Mahoney-Hansen
316,Reactive fresh-thinking capability,Sports,145.12,Walker Inc
317,Compatible methodical migration,Clothing,291.05,Brown-Kim
318,Organized impactful knowledge user,Books,174.02,Jones-Taylor
319,Triple-buffered zero tolerance secured line,Electronics,1404.22,"Tran, Taylor and Johnson"
320,Focused analyzing collaboration,Sports,99.94,"Cordova, Ritter and Flores"
321,Organic encompassing alliance,Beauty,39.8,Gordon-Goodwin
322,Enterprise-wide disintermediate service-desk,Books,80.17,Clark Inc
323,Multi-tiered leadingedge matrix,Electronics,1223.12,"Olson, Wheeler and Schneider"
324,Future-proofed well-modulated policy,Sports,30.96,Bates-Thompson
325,Inverse global system engine,Home & Garden,292.31,Brown-Mclean
326,Horizontal object-oriented instruction set,Electronics,1069.42,Gould-Wolfe
327,Cross-platform system-worthy synergy,Electronics,774.36,Stewart-Chavez
328,Virtual context-sensitive help-desk,Home & Garden,162.08,Ball-Kaufman
329,Innovative systematic workforce,Sports,15.32,"Schmidt, Bird and Morris"
330,Up-sized intangible projection,Clothing,59.8,"Berry, Williams and Rodriguez"
331,Programmable high-level benchmark,Books,90.13,Fuentes LLC
332,User-centric intermediate leverage,Home & Garden,446.19,Cobb PLC
333,Monitored asynchronous functionalities,Clothing,71.26,Patterson-Fitzgerald
334,Proactive 5thgeneration projection,Beauty,102.87,Brown-Gutierrez
335,Public-key 24/7 portal,Electronics,1117.7,"Harris, Moss and Riddle"
336,Reduced directional firmware,Electronics,1747.33,Morris-Brown
337,Virtual mobile functionalities,Sports,101.42,"Benton, Williams and Dorsey"
338,Innovative value-added synergy,Home & Garden,289.4,Bennett-Watts
339,Expanded zero-defect moratorium,Home & Garden,393.95,"Hernandez, Turner and Mata"
340,Multi-lateral client-driven focus group,Sports,168.55,Hayes-Morgan
341,Intuitive global success,Toys,125.08,Castaneda-Mays
342,Sharable client-driven initiative,Toys,36.32,Nichols Inc
343,Sharable dedicated website,Beauty,97.58,Ali Ltd
344,User-centric client-server Local Area Network,Sports,136.77,Gray Ltd
345,Progressive value-added secured line,Clothing,262.58,Mejia-Espinoza
346,Team-oriented multimedia product,Home & Garden,58.32,Carpenter-Ford
347,User-centric eco-centric matrices,Books,136.26,Cummings-White
348,Extended responsive leverage,Sports,83.57,Clark PLC
349,Monitored solution-oriented focus group,Sports,74.41,Castro-Wallace
350,Team-oriented contextually-based installation,Electronics,1918.26,"Davis, Ritter and Lopez"
351,Decentralized reciprocal collaboration,Sports,149.82,Ramsey LLC
352,Cross-group zero administration utilization,Beauty,26.82,"Mccarty, Fitzpatrick and Miles"
353,Devolved multimedia system engine,Clothing,218.02,"Smith, Crosby and Duarte"
354,Object-based contextually-based hardware,Books,129.72,Jennings LLC
355,Upgradable bandwidth-monitored middleware,Toys,144.41,Hill-Richardson
356,Cloned needs-based pricing structure,Books,132.58,Flores PLC
357,Front-line attitude-oriented firmware,Beauty,116.28,Williams and Sons
358,Monitored impactful definition,Clothing,287.45,Harris and Sons
359,Profit-focused coherent Internet solution,Books,119.6,Lee-Contreras
360,Seamless 24/7 function,Electronics,1916.72,Riley-Fischer
361,Multi-tiered high-level intranet,Books,45.99,Simmons PLC
362,Reduced transitional Internet solution,Sports,105.5,"Taylor, Lee and Chan"
363,Multi-lateral analyzing moderator,Electronics,284.55,Thompson-Fernandez
364,Public-key foreground info-mediaries,Books,44.15,Horne-Clark
365,Organic human-resource application,Electronics,586.18,"Frazier, Holloway and Hahn"
366,Enhanced demand-driven adapter,Clothing,88.68,"Jackson, Ward and Gonzales"
367,Programmable radical utilization,Beauty,169.39,"Bowman, Foster and Fitzpatrick"
368,Synchronized didactic infrastructure,Books,94.4,Miller and Sons
369,Fully-configurable 3rdgeneration neural-net,Toys,111.37,Hughes-Garcia
370,Diverse value-added infrastructure,Home & Garden,209.87,Palmer Inc
371,Front-line demand-driven standardization,Electronics,1008.37,Collins-Williams
372,Horizontal zero tolerance secured line,Electronics,712.92,Campbell-Miller
373,Cross-group intermediate workforce,Clothing,136.18,King Ltd
374,Triple-buffered directional software,Toys,110.3,Perez Inc
375,Centralized transitional solution,Sports,58.86,Price and Sons
376,Visionary homogeneous Internet solution,Electronics,1960.58,Rollins and Sons
377,Progressive even-keeled hierarchy,Books,41.95,Torres-Roberts
378,Adaptive national productivity,Clothing,71.15,Chavez-Mcintyre
379,Multi-tiered coherent complexity,Toys,27.03,"Bell, Gallagher and Garcia"
380,Adaptive multimedia function,Home & Garden,476.8,"Simmons, Johnson and Simon"
381,Vision-oriented intangible synergy,Beauty,42.15,Singh Inc
382,Enterprise-wide human-resource ability,Books,192.61,Barnes-Smith
383,Customer-focused leadingedge firmware,Clothing,27.61,"Keller, Gonzalez and Calderon"
384,Secured bi-directional success,Electronics,631.15,Vance-Anderson
385,Integrated even-keeled archive,Electronics,674.08,Butler Ltd
386,Pre-emptive needs-based moratorium,Sports,179.67,Flores-Ruiz
387,Face-to-face client-server archive,Home & Garden,197.12,Bailey-Golden
388,Synergized even-keeled collaboration,Toys,180.91,Schroeder PLC
389,Ergonomic grid-enabled flexibility,Electronics,444.99,"King, Houston and Murray"
390,Cloned secondary access,Toys,123.43,"Marshall, Jackson and Black"
391,Assimilated composite encryption,Clothing,158.03,"Hopkins, Mooney and Fowler"
392,User-friendly 4thgeneration interface,Toys,105.84,Wallace-King
393,Mandatory discrete definition,Electronics,575.11,"Gonzalez, Martinez and Gallagher"
394,Function-based logistical orchestration,Home & Garden,240.44,Kelly-Moss
395,Cloned composite open system,Sports,22.44,"Neal, Carter and Chang"
396,Enhanced cohesive ability,Electronics,844.61,Romero Ltd
397,Reactive asynchronous help-desk,Clothing,275.85,"White, Hicks and Villarreal"
398,Synergized heuristic challenge,Electronics,574.86,Kirk Group
399,Reactive 24hour capability,Books,138.27,Butler Group
400,Down-sized full-range analyzer,Clothing,233.63,Malone-Woods
401,Focused transitional challenge,Beauty,159.19,Brady-Greene
402,Focused radical frame,Home & Garden,290.6,Brown Ltd
403,Versatile composite hierarchy,Sports,25.94,Harmon and Sons
404,Pre-emptive eco-centric policy,Beauty,105.08,Cervantes-Kramer
405,Front-line next generation emulation,Toys,193.9,"Horne, Phillips and Blake"
406,Synergistic discrete matrices,Home & Garden,277.11,"Long, Scott and Carlson"
